edge_id,subject,subject_type,subject_subset,predicate,biolink_predicate,object,object_type,object_subset,pmid,trial,year,confidence,confidence_rationale,effect_size,p_value,direction,temporal_context
lung_protective_vent__hasClinicalOutcome__major_pulmonary_and___23902482,Lung-protective ventilation,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Major pulmonary and extrapulmonary complications within 7 days,biolink:ClinicalFinding,POI_outcome,23902482,,2013,0.6,"Haiku-extracted from PMID:23902482, direction=BENEFIT",-17.0,0.001,BENEFIT,
experimental_ventila__hasClinicalOutcome__all_cause_hospital_m__18270352,Experimental ventilation strategy,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,All-cause hospital mortality,biolink:ClinicalFinding,POI_outcome,18270352,,2008,0.6,"Haiku-extracted from PMID:18270352, direction=BENEFIT",-4.0,0.19,BENEFIT,
mobility_protocol__hasClinicalOutcome__proportion_receiving__18596631,Mobility protocol,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Proportion receiving PT in ICU survivors,biolink:ClinicalFinding,POI_outcome,18596631,,2008,0.6,"Haiku-extracted from PMID:18596631, direction=BENEFIT",33.0,<=0.001,BENEFIT,
dexamethasone__hasClinicalOutcome__ventilator_free_days__32876695,Dexamethasone,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Ventilator-free days during first 28 days,biolink:ClinicalFinding,POI_outcome,32876695,,2020,0.6,"Haiku-extracted from PMID:32876695, direction=BENEFIT",2.26,0.04,BENEFIT,
prone_positioning__hasClinicalOutcome__survival__11529210,Prone positioning,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Survival,biolink:ClinicalFinding,POI_outcome,11529210,,2001,0.6,"Haiku-extracted from PMID:11529210, direction=NO EFFECT",RR,0.41,NO EFFECT,
treatment_protocol__hasClinicalOutcome__mortality__10861320,Treatment protocol,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Mortality,biolink:ClinicalFinding,POI_outcome,10861320,,2000,0.6,"Haiku-extracted from PMID:10861320, direction=HARM",None,3%,HARM,
non_invasive_ventila__hasClinicalOutcome__survival__16426990,Non-invasive ventilation (NIV),biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Survival,biolink:ClinicalFinding,POI_outcome,16426990,,2006,0.6,"Haiku-extracted from PMID:16426990, direction=BENEFIT",205,0.006,BENEFIT,
mechanical_ventilati__hasClinicalOutcome__improvement_in_oxyge__19001507,Mechanical ventilation with PEEP adjusted according to esophageal pressure measurements,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Improvement in oxygenation,biolink:ClinicalFinding,POI_outcome,19001507,,2008,0.6,"Haiku-extracted from PMID:19001507, direction=BENEFIT",88.0,0.002,BENEFIT,
restrictive_red_bloo__hasClinicalOutcome__composite_of_30_day___20940381,Restrictive red blood cell transfusion strategy,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Composite of 30-day all-cause mortality and severe morbidity,biolink:ClinicalFinding,POI_outcome,20940381,,2010,0.6,"Haiku-extracted from PMID:20940381, direction=NO EFFECT",ARD,0.85,NO EFFECT,
epidural_anaesthesia__hasClinicalOutcome__death_at_30_days_or___11965272,Epidural anaesthesia and analgesia,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Death at 30 days or major postsurgical morbidity,biolink:ClinicalFinding,POI_outcome,11965272,,2002,0.6,"Haiku-extracted from PMID:11965272, direction=NO EFFECT",-3.6,0.29,NO EFFECT,
noninvasive_positive__hasClinicalOutcome__improved_pao2_fio2_r__9700176,Noninvasive positive-pressure ventilation,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Improved PaO2:FiO2 ratio within 1h,biolink:ClinicalFinding,POI_outcome,9700176,,1998,0.6,"Haiku-extracted from PMID:9700176, direction=BENEFIT",15.0,0.21,BENEFIT,
growth_hormone__hasClinicalOutcome__in_hospital_mortalit__10477776,Growth hormone,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,In-hospital mortality,biolink:ClinicalFinding,POI_outcome,10477776,,1999,0.6,"Haiku-extracted from PMID:10477776, direction=HARM",26.0,<0.001,HARM,
prolonged_methylpred__hasClinicalOutcome__improvement_in_lung___9669790,Prolonged methylprednisolone therapy,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Improvement in lung function and mortality,biolink:ClinicalFinding,POI_outcome,9669790,,1998,0.6,"Haiku-extracted from PMID:9669790, direction=BENEFIT",-62.0,0.03,BENEFIT,
pulmonary_artery_cat__hasClinicalOutcome__mortality_during_fir__16714768,Pulmonary-artery catheter (PAC) for hemodynamic management,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Mortality during first 60 days before discharge home,biolink:ClinicalFinding,POI_outcome,16714768,,2006,0.6,"Haiku-extracted from PMID:16714768, direction=NO EFFECT",1.1,0.69,NO EFFECT,
respiratory_changes___hasClinicalOutcome__fluid_responsiveness__15034650,Respiratory changes in IVC diameter,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Fluid responsiveness,biolink:ClinicalFinding,POI_outcome,15034650,,2004,0.6,"Haiku-extracted from PMID:15034650, direction=BENEFIT",0.9,None,BENEFIT,
trophic_enteral_feed__hasClinicalOutcome__ventilator_free_days__22307571,Trophic enteral feeding,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Ventilator-free days to study day 28,biolink:ClinicalFinding,POI_outcome,22307571,,2012,0.6,"Haiku-extracted from PMID:22307571, direction=NO EFFECT",-0.1,0.89,NO EFFECT,
resp_score_to_predic__hasClinicalOutcome__hospital_survival__24693864,RESP score to predict ECMO survival,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Hospital survival,biolink:ClinicalFinding,POI_outcome,24693864,,2014,0.6,"Haiku-extracted from PMID:24693864, direction=BENEFIT",0.74,None,BENEFIT,
intravenous_vitamin___hasClinicalOutcome__change_in_organ_fail__31573637,Intravenous vitamin C infusion,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Change in organ failure score from baseline to 96 hours,biolink:ClinicalFinding,POI_outcome,31573637,,2019,0.6,"Haiku-extracted from PMID:31573637, direction=NO EFFECT",-0.1,0.86,NO EFFECT,
pulmonary_artery_cat__hasClinicalOutcome__mortality__16204666,Pulmonary artery catheter (PAC),biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Mortality,biolink:ClinicalFinding,POI_outcome,16204666,,2005,0.6,"Haiku-extracted from PMID:16204666, direction=NO EFFECT",OR,0.59,NO EFFECT,
tocilizumab__tcz___hasClinicalOutcome__who_cps__5_at_day_4__33080017,Tocilizumab (TCZ),biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,WHO-CPS >5 at day 4,biolink:ClinicalFinding,POI_outcome,33080017,,2021,0.6,"Haiku-extracted from PMID:33080017, direction=BENEFIT",-9.0,0.89,BENEFIT,
inhaled_nitric_oxide__hasClinicalOutcome__acute_pao2_increase___9428538,Inhaled nitric oxide,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,"Acute PaO2 increase, pulmonary artery pressure decrease, ventilator settings",biolink:ClinicalFinding,POI_outcome,9428538,,1998,0.6,"Haiku-extracted from PMID:9428538, direction=BENEFIT",36.0,None,BENEFIT,
enteral_feeding_with__hasClinicalOutcome__pulmonary_neutrophil__10470743,Enteral feeding with EPA+GLA and antioxidants,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Pulmonary neutrophil recruitment,biolink:ClinicalFinding,POI_outcome,10470743,,1999,0.6,"Haiku-extracted from PMID:10470743, direction=BENEFIT",None,None,BENEFIT,
global_strength_and___hasClinicalOutcome__hospital_mortality__18511703,Global strength and handgrip dynamometry assessment,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Hospital mortality,biolink:ClinicalFinding,POI_outcome,18511703,,2008,0.6,"Haiku-extracted from PMID:18511703, direction=HARM",OR,0.001,HARM,
lower_tidal_volume_v__hasClinicalOutcome__mortality__15644641,Lower tidal volume ventilation,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Mortality,biolink:ClinicalFinding,POI_outcome,15644641,,2005,0.6,"Haiku-extracted from PMID:15644641, direction=HARM",OR,NS,HARM,
injurious_ventilator__hasClinicalOutcome__epithelial_cell_apop__12709468,Injurious ventilatory strategy,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Epithelial cell apoptosis in kidney and small intestine; biochemical markers of organ dysfunction,biolink:ClinicalFinding,POI_outcome,12709468,,2003,0.6,"Haiku-extracted from PMID:12709468, direction=HARM",None,None,HARM,
noninvasive_ventilat__hasClinicalOutcome__need_for_endotrachea__10634340,Noninvasive ventilation (NIV),biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Need for endotracheal intubation and mechanical ventilation,biolink:ClinicalFinding,POI_outcome,10634340,,2000,0.6,"Haiku-extracted from PMID:10634340, direction=BENEFIT",-50.0,0.002,BENEFIT,
high_level_of_positi__hasClinicalOutcome__composite_of_postope__24894577,High level of positive end-expiratory pressure (12 cm H2O) with recruitment manoeuvres,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Composite of postoperative pulmonary complications by postoperative day 5,biolink:ClinicalFinding,POI_outcome,24894577,,2014,0.6,"Haiku-extracted from PMID:24894577, direction=NO EFFECT",1.0,0.86,NO EFFECT,
early_use_of_pulmona__hasClinicalOutcome__mortality_at_28_days__14645314,Early use of pulmonary artery catheter (PAC),biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Mortality at 28 days,biolink:ClinicalFinding,POI_outcome,14645314,,2003,0.6,"Haiku-extracted from PMID:14645314, direction=NO EFFECT",-1.6,0.67,NO EFFECT,
recombinant_human_an__hasClinicalOutcome__physiological_biomar__28877748,"Recombinant human angiotensin-converting enzyme 2 (rhACE2, GSK2586881)",biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,"Physiological biomarkers, clinical endpoints",biolink:ClinicalFinding,POI_outcome,28877748,,2017,0.6,"Haiku-extracted from PMID:28877748, direction=NO EFFECT",None,NR,NO EFFECT,
allogeneic_mesenchym__hasClinicalOutcome__28_day_mortality__30455077,Allogeneic mesenchymal stromal cells,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,28-day mortality,biolink:ClinicalFinding,POI_outcome,30455077,,2019,0.6,"Haiku-extracted from PMID:30455077, direction=NO EFFECT",15.0,None,NO EFFECT,
covid_19_infection__hasClinicalOutcome__in_hospital_mortalit__33341155,COVID-19 infection,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,In-hospital mortality,biolink:ClinicalFinding,POI_outcome,33341155,,2021,0.6,"Haiku-extracted from PMID:33341155, direction=HARM",11.1,<0.001,HARM,
noninvasive_ventilat__hasClinicalOutcome__decrease_in_intubati__14500259,Noninvasive ventilation (NIV),biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Decrease in intubation rate,biolink:ClinicalFinding,POI_outcome,14500259,,2003,0.6,"Haiku-extracted from PMID:14500259, direction=BENEFIT",-27.0,0.010,BENEFIT,
prone_position_place__hasClinicalOutcome__28_day_mortality__15547166,Prone position placement,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,28-day mortality,biolink:ClinicalFinding,POI_outcome,15547166,,2004,0.6,"Haiku-extracted from PMID:15547166, direction=NO EFFECT",0.9,0.77,NO EFFECT,
aerosolized_syntheti__hasClinicalOutcome__30_day_survival__8618579,Aerosolized synthetic surfactant,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,30-day survival,biolink:ClinicalFinding,POI_outcome,8618579,,1996,0.6,"Haiku-extracted from PMID:8618579, direction=NO EFFECT",,NS,NO EFFECT,
high_flow_conditione__hasClinicalOutcome__reintubation_within___27706464,High-flow conditioned oxygen therapy,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Reintubation within 72 hours,biolink:ClinicalFinding,POI_outcome,27706464,,2016,0.6,"Haiku-extracted from PMID:27706464, direction=NO EFFECT",3.7,∞,NO EFFECT,
extubation_decannula__hasClinicalOutcome__successful_extubatio__8989078,Extubation/decannulation criteria,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Successful extubation and tracheostomy decannulation,biolink:ClinicalFinding,POI_outcome,8989078,,1996,0.6,"Haiku-extracted from PMID:8989078, direction=BENEFIT",None,None,BENEFIT,
haloperidol__hasClinicalOutcome__days_alive_without_d__30346242,Haloperidol,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Days alive without delirium or coma during 14-day intervention period,biolink:ClinicalFinding,POI_outcome,30346242,,2018,0.6,"Haiku-extracted from PMID:30346242, direction=NO EFFECT",,0.26,NO EFFECT,
prone_ventilation__hasClinicalOutcome__icu_mortality__16556697,Prone ventilation,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,ICU mortality,biolink:ClinicalFinding,POI_outcome,16556697,,2006,0.6,"Haiku-extracted from PMID:16556697, direction=BENEFIT",-15.0,0.12,BENEFIT,
methylprednisolone__hasClinicalOutcome__treatment_failure__25688779,Methylprednisolone,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Treatment failure,biolink:ClinicalFinding,POI_outcome,25688779,,2015,0.6,"Haiku-extracted from PMID:25688779, direction=BENEFIT",18.0,0.02,BENEFIT,
serial_blood_lactate__hasClinicalOutcome__mortality_prediction__27520452,Serial blood lactate measurements,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Mortality prediction,biolink:ClinicalFinding,POI_outcome,27520452,,2016,0.6,"Haiku-extracted from PMID:27520452, direction=BENEFIT",None,None,BENEFIT,
rosuvastatin__hasClinicalOutcome__60_day_in_hospital_m__24835849,Rosuvastatin,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,60-day in-hospital mortality,biolink:ClinicalFinding,POI_outcome,24835849,,2014,0.6,"Haiku-extracted from PMID:24835849, direction=NO EFFECT",3.6,0.21,NO EFFECT,
anakinra__hasClinicalOutcome__worse_clinical_statu__34480127,Anakinra,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Worse clinical status on WHO-CPS at day 28,biolink:ClinicalFinding,POI_outcome,34480127,,2021,0.6,"Haiku-extracted from PMID:34480127, direction=BENEFIT",proportional odds,None,BENEFIT,
lower_tidal_volumes___hasClinicalOutcome__development_of_lung___20055989,Lower tidal volumes (6 mL/kg PBW),biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Development of lung injury,biolink:ClinicalFinding,POI_outcome,20055989,,2010,0.6,"Haiku-extracted from PMID:20055989, direction=BENEFIT",-10.9,0.01,BENEFIT,
superior_vena_caval___hasClinicalOutcome__fluid_responsiveness__15375649,Superior vena caval collapsibility measurement,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Fluid responsiveness,biolink:ClinicalFinding,POI_outcome,15375649,,2004,0.6,"Haiku-extracted from PMID:15375649, direction=BENEFIT",None,None,BENEFIT,
helmet_noninvasive_v__hasClinicalOutcome__days_free_of_respira__33764378,Helmet noninvasive ventilation,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Days free of respiratory support within 28 days,biolink:ClinicalFinding,POI_outcome,33764378,,2021,0.6,"Haiku-extracted from PMID:33764378, direction=NO EFFECT",2,0.26,NO EFFECT,
simvastatin__hasClinicalOutcome__ventilator_free_days__25268516,Simvastatin,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Ventilator-free days to day 28,biolink:ClinicalFinding,POI_outcome,25268516,,2014,0.6,"Haiku-extracted from PMID:25268516, direction=NO EFFECT",1.1,0.21,NO EFFECT,
conservative_or_dere__hasClinicalOutcome__mortality__27734109,Conservative or deresuscitative fluid strategy,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Mortality,biolink:ClinicalFinding,POI_outcome,27734109,,2017,0.6,"Haiku-extracted from PMID:27734109, direction=NO EFFECT",RR,0.92,NO EFFECT,
fluid_overload__hasClinicalOutcome__mortality__33009098,Fluid overload,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Mortality,biolink:ClinicalFinding,POI_outcome,33009098,,2020,0.6,"Haiku-extracted from PMID:33009098, direction=HARM",RR,None,HARM,
awake_prone_position__hasClinicalOutcome__treatment_failure__i__34425070,Awake prone positioning,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Treatment failure (intubation or death within 28 days),biolink:ClinicalFinding,POI_outcome,34425070,,2021,0.6,"Haiku-extracted from PMID:34425070, direction=BENEFIT",-6.0,<0.001,BENEFIT,
furosemide_with_albu__hasClinicalOutcome__change_in_oxygenatio__16096441,Furosemide with albumin,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Change in oxygenation from baseline to day 1,biolink:ClinicalFinding,POI_outcome,16096441,,2005,0.6,"Haiku-extracted from PMID:16096441, direction=BENEFIT",43.0,<0.05,BENEFIT,
supplemental_oxygen__hasClinicalOutcome__detection_of_hypoven__15539726,Supplemental oxygen,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Detection of hypoventilation,biolink:ClinicalFinding,POI_outcome,15539726,,2004,0.6,"Haiku-extracted from PMID:15539726, direction=HARM",None,None,HARM,
lung_ct_and_lung_ult__hasClinicalOutcome__global_and_regional___30048331,Lung CT and lung ultrasound examination,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Global and regional Lung Ultrasound scores compared with CT quantitative analysis,biolink:ClinicalFinding,POI_outcome,30048331,,2018,0.6,"Haiku-extracted from PMID:30048331, direction=",None,None,,
prone_positioning__hasClinicalOutcome__28_day_mortality__14668608,Prone positioning,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,28-day mortality,biolink:ClinicalFinding,POI_outcome,14668608,,2003,0.6,"Haiku-extracted from PMID:14668608, direction=BENEFIT",None,0.01,BENEFIT,
partial_liquid_venti__hasClinicalOutcome__physiologic_shunt_an__8569018,Partial liquid ventilation (PLV),biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Physiologic shunt and static pulmonary compliance,biolink:ClinicalFinding,POI_outcome,8569018,,1996,0.6,"Haiku-extracted from PMID:8569018, direction=BENEFIT",None,0.01,BENEFIT,
ecmo_network_organis__hasClinicalOutcome__survival_at_90_days___33887246,ECMO network organisation,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Survival at 90 days after ECMO,biolink:ClinicalFinding,POI_outcome,33887246,,2021,0.6,"Haiku-extracted from PMID:33887246, direction=",None,None,,
extracorporeal_carbo__hasClinicalOutcome__proportion_of_patien__30790030,Extracorporeal carbon dioxide removal (ECCO2R) to facilitate ultra-protective ventilation,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Proportion of patients achieving ultra-protective ventilation,biolink:ClinicalFinding,POI_outcome,30790030,,2019,0.6,"Haiku-extracted from PMID:30790030, direction=BENEFIT",-4.0,None,BENEFIT,
computerized_patient__hasClinicalOutcome__airway_management_sk__15599146,Computerized patient simulator training for airway management,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Airway management skills,biolink:ClinicalFinding,POI_outcome,15599146,,2004,0.6,"Haiku-extracted from PMID:15599146, direction=BENEFIT",None,0.007,BENEFIT,
procalcitonin__pct____hasClinicalOutcome__discrimination_betwe__10548201,Procalcitonin (PCT) serum level measurement,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Discrimination between septic and nonseptic ARDS,biolink:ClinicalFinding,POI_outcome,10548201,,1999,0.6,"Haiku-extracted from PMID:10548201, direction=BENEFIT",None,<0.0005,BENEFIT,
sepsis_molecular_phe__hasClinicalOutcome__sepsis_molecular_phe__37633303,Sepsis molecular phenotyping,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Sepsis molecular phenotypes,biolink:ClinicalFinding,POI_outcome,37633303,,2023,0.6,"Haiku-extracted from PMID:37633303, direction=CHARACTERIZATION",None,<0.0001,CHARACTERIZATION,
machine_learning_cli__hasClinicalOutcome__validation_of_machin__35026177,Machine learning clinical classifier models,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Validation of machine learning models for ARDS subphenotype assignment,biolink:ClinicalFinding,POI_outcome,35026177,,2022,0.6,"Haiku-extracted from PMID:35026177, direction=BENEFIT",None,None,BENEFIT,
awake_prone_position__hasClinicalOutcome__endotracheal_intubat__35569448,Awake prone positioning,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Endotracheal intubation within 30 days,biolink:ClinicalFinding,POI_outcome,35569448,,2022,0.6,"Haiku-extracted from PMID:35569448, direction=NO EFFECT",-6.37,0.20,NO EFFECT,
cuff_leak_test__hasClinicalOutcome__upper_airway_obstruc__19399474,Cuff-leak test,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Upper airway obstruction,biolink:ClinicalFinding,POI_outcome,19399474,,2009,0.6,"Haiku-extracted from PMID:19399474, direction=",None,None,,
prone_positioning__hasClinicalOutcome__mortality_at_60_days__24435203,Prone positioning,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Mortality at 60 days,biolink:ClinicalFinding,POI_outcome,24435203,,2014,0.6,"Haiku-extracted from PMID:24435203, direction=BENEFIT",RR,0.073,BENEFIT,
daily_screening_and___hasClinicalOutcome__duration_of_mechanic__8948561,Daily screening and trials of spontaneous breathing,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Duration of mechanical ventilation,biolink:ClinicalFinding,POI_outcome,8948561,,1996,0.6,"Haiku-extracted from PMID:8948561, direction=BENEFIT",-1.5,0.003,BENEFIT,
protocol_directed_se__hasClinicalOutcome__duration_of_mechanic__10628598,Protocol-directed sedation,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Duration of mechanical ventilation,biolink:ClinicalFinding,POI_outcome,10628598,,1999,0.6,"Haiku-extracted from PMID:10628598, direction=BENEFIT",-61.1,0.008,BENEFIT,
pressure__and_volume__hasClinicalOutcome__mortality__9449728,Pressure- and volume-limited ventilation,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Mortality,biolink:ClinicalFinding,POI_outcome,9449728,,1998,0.6,"Haiku-extracted from PMID:9449728, direction=NO EFFECT",3.0,0.72,NO EFFECT,
high_frequency_oscil__hasClinicalOutcome__in_hospital_mortalit__23339639,High-frequency oscillatory ventilation,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,In-hospital mortality,biolink:ClinicalFinding,POI_outcome,23339639,,2013,0.6,"Haiku-extracted from PMID:23339639, direction=HARM",12.0,0.005,HARM,
non_invasive_positiv__hasClinicalOutcome__mortality__12543832,Non-invasive positive pressure ventilation (NPPV),biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Mortality,biolink:ClinicalFinding,POI_outcome,12543832,,2003,0.6,"Haiku-extracted from PMID:12543832, direction=BENEFIT",RR,<0.001,BENEFIT,
t_tube_spontaneous_b__hasClinicalOutcome__successful_extubatio__9279224,T-tube spontaneous breathing trial,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Successful extubation at 48 hours,biolink:ClinicalFinding,POI_outcome,9279224,,1997,0.6,"Haiku-extracted from PMID:9279224, direction=NO EFFECT",7.0,0.14,NO EFFECT,
tidal_volume_reducti__hasClinicalOutcome__mortality_at_day_60__9847275,Tidal volume reduction,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Mortality at Day 60,biolink:ClinicalFinding,POI_outcome,9847275,,1998,0.6,"Haiku-extracted from PMID:9847275, direction=NO EFFECT",8.7,0.38,NO EFFECT,
30_minute_spontaneou__hasClinicalOutcome__successful_extubatio__9927366,30-minute spontaneous breathing trial,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Successful extubation and remaining extubated for 48 hours,biolink:ClinicalFinding,POI_outcome,9927366,,1999,0.6,"Haiku-extracted from PMID:9927366, direction=NO EFFECT",2.9,0.43,NO EFFECT,
methylprednisolone_i__hasClinicalOutcome__1_point_reduction_in__17426195,Methylprednisolone infusion,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,1-point reduction in LIS or successful extubation by day 7,biolink:ClinicalFinding,POI_outcome,17426195,,2007,0.6,"Haiku-extracted from PMID:17426195, direction=BENEFIT",34.1,0.002,BENEFIT,
tocilizumab__hasClinicalOutcome__composite_clinical_w__33080005,Tocilizumab,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Composite clinical worsening,biolink:ClinicalFinding,POI_outcome,33080005,,2021,0.6,"Haiku-extracted from PMID:33080005, direction=NO EFFECT",1.3,0.84,NO EFFECT,
fluid_challenge__hasClinicalOutcome__cardiac_index_increa__15754196,Fluid challenge,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Cardiac index increase >15%,biolink:ClinicalFinding,POI_outcome,15754196,,2005,0.6,"Haiku-extracted from PMID:15754196, direction=BENEFIT",None,<0.001,BENEFIT,
lymphopenia_on_admis__hasClinicalOutcome__severe_covid_19__32483488,Lymphopenia on admission,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Severe COVID-19,biolink:ClinicalFinding,POI_outcome,32483488,,2020,0.6,"Haiku-extracted from PMID:32483488, direction=HARM",-361.06,<0.001,HARM,
limitation_of_peak_i__hasClinicalOutcome__hospital_mortality_r__7924367,"Limitation of peak inspiratory pressure to 30 to 40 cm H2O, low tidal volumes (4 to 7 mL/kg), spontaneous breathing using synchronized intermittent mandatory ventilation from the start of ventilation, and permissive hypercapnia without the use of bicarbonate to buffer acidosis",biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Hospital mortality rate,biolink:ClinicalFinding,POI_outcome,7924367,,1994,0.6,"Haiku-extracted from PMID:7924367, direction=BENEFIT",-26.9,0.004,BENEFIT,
noninvasive_pressure__hasClinicalOutcome__successful_weaning_a__9556465,Noninvasive pressure support ventilation,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Successful weaning at 60 days,biolink:ClinicalFinding,POI_outcome,9556465,,1998,0.6,"Haiku-extracted from PMID:9556465, direction=BENEFIT",20.0,0.009,BENEFIT,
