poi_id:ID,id_slug,label,subset:LABEL,parent,definition,synonym,xref_DOID,xref_MESH,xref_UMLS,source,source_pmids,n_sources:int,xref_CHEBI,xref_GO,xref_MONDO,normalized_label,original_label,norm_method,norm_confidence,synonyms,hitl_split_flag,hitl_members
ARDS_POI:02345,hypoxic-vasoconstriction-reversal,Hypoxic Vasoconstriction Reversal,POI_mechanism,biological-process,,,,,,mechanism_node,8618485,1,,GO:0002040,,Hypoxic pulmonary vasoconstriction,Hypoxic Vasoconstriction Reversal,rule,HIGH,,,
ARDS_POI:02348,hypercapnic-acidosis,hypercapnic acidosis,POI_mechanism,respiratory-acid-base-regulation,"Elevated PaCO2 and low pH, proposed to have a protective effect against ventilator-associated lung injury.",,DOID:11394,D012128,C0035222,robot_template_row,16374149,1,,,,Hypercapnic Acidosis,hypercapnic acidosis,claude_api,HIGH,,,
ARDS_POI:02359,impaired-antifungal-defenses,Impaired Antifungal Defenses,POI_mechanism,biological-process,,,,D007109,C1155266,mechanism_node,22895826,1,,GO:0050832,,Antifungal immune response,Impaired Antifungal Defenses,claude_api,MEDIUM,,,
ARDS_POI:02360,opportunistic-fungal-infection,Opportunistic Fungal Infection,POI_disease,biological-process,,,DOID:0050828,D009896,C0029490,mechanism_node,22895826,1,,,,Opportunistic Fungal Infection,Opportunistic Fungal Infection,claude_api,HIGH,,,
ARDS_POI:02361,heterogeneity-of-treatment-effect-awareness-in-critical-care-rcts,Heterogeneity of treatment effect awareness in critical care RCTs,POI_mechanism,statistical-methodology,Awareness that patients in critical care RCTs have wide variability in risk and thus in the absolute benefit they can derive from a given therapy.,,,D011884,C0034067,robot_template_row,26177009,1,,,,Treatment effect heterogeneity,Heterogeneity of treatment effect awareness in critical care RCTs,claude_api,MEDIUM,,,
ARDS_POI:02395,resuscitation-guided-by-fluid-responsiveness-assessment,Resuscitation guided by fluid responsiveness assessment,POI_intervention,sepsis-management-strategy,Resuscitation of septic shock guided by assessment of fluid responsiveness using passive leg raise to determine fluid bolus or vasopressor administration.,,,D012359,C0038315,robot_template_row,32353418,1,,,,Fluid responsiveness assessment,Resuscitation guided by fluid responsiveness assessment,claude_api,HIGH,,,
ARDS_POI:02411,right-to-left-shunt-reduction,Right To Left Shunt Reduction,POI_mechanism,biological-process,,,,D012769,C0036690,mechanism_node,7705124,1,,,,Shunt reduction,Right To Left Shunt Reduction,claude_api,HIGH,,,
ARDS_POI:02412,postoperative-respiratory-failure-risk-calculator,postoperative respiratory failure risk calculator,POI_intervention,postoperative-risk-prediction-tool,Predictive model using preoperative factors to estimate risk of postoperative respiratory failure requiring prolonged mechanical ventilation or unplanned intubation.,,DOID:11394,D011656,C0032943,robot_template_row,21757571,1,,,,"Respiratory Failure, Postoperative",postoperative respiratory failure risk calculator,claude_api,MEDIUM,,,
ARDS_POI:02418,prophylactic-nasal-continuous-positive-airway-pressure-ncpap-following-cardiac-surgery,Prophylactic nasal continuous positive airway pressure (nCPAP) following cardiac surgery,POI_intervention,lung-protective-ventilation-strategy,Prophylactic nasal continuous positive airway pressure at 10 cmH2O for at least 6 hours following cardiac surgery to prevent postoperative pulmonary complications.,Prophylactic nCPAP,,D011656,C0032943,robot_template_row,19017864,1,,,,Continuous positive airway pressure,Prophylactic nasal continuous positive airway pressure (nCPAP) following cardiac surgery,rule,HIGH,,,
ARDS_POI:02437,sarilumab,Sarilumab,POI_intervention,interleukin-6-receptor-antagonist,Monoclonal antibody interleukin-6 receptor inhibitor,,,D001293,C0050565,robot_template_row,33676590,1,CHEBI:90779,,,Sarilumab,Sarilumab,claude_api,HIGH,,,
ARDS_POI:02447,individualised-open-lung-approach-during-one-lung-ventilation,individualised open-lung approach during one-lung ventilation,POI_intervention,lung-protective-ventilation-strategy,Individualised ventilation strategy during one-lung ventilation combining alveolar recruitment manoeuvre to 40 cmH2O with PEEP titrated to best respiratory system compliance plus postop HFNO.,iOLA,DOID:11394,D012128,C0035222,robot_template_row,16352797,1,,,,Open lung ventilation strategy,individualised open-lung approach during one-lung ventilation,rule,HIGH,,,
ARDS_POI:02475,respiratory-physiotherapy,Respiratory physiotherapy,POI_intervention,postoperative-complication-prevention,"Respiratory physiotherapy techniques including deep breathing, directed cough, and postural drainage to prevent pulmonary complications after abdominal surgery.",,,D011656,C0032943,robot_template_row,17167013,1,,,,Respiratory Physiotherapy,Respiratory physiotherapy,claude_api,HIGH,,,
ARDS_POI:02498,severe-brain-injury-susceptibility,Severe Brain Injury Susceptibility,POI_disease,biological-process,,,DOID:11018,D006930,C0876926,mechanism_node,17568331,1,,,,Traumatic Brain Injury,Severe Brain Injury Susceptibility,claude_api,MEDIUM,,,
ARDS_POI:02499,therapeutic-hypercapnia,therapeutic hypercapnia,POI_intervention,respiratory-therapy,Supplemental carbon dioxide administration to critically ill patients to raise CO2 concentrations and promote the protective effects of hypercapnia while reducing the injurious effects of hypocapnia.,,DOID:1321,D006701,C0020633,robot_template_row,10520649,1,,,,hypercapnia,therapeutic hypercapnia,claude_api,HIGH,,,
ARDS_POI:02516,oxygen-consumption-reduction,Oxygen Consumption Reduction,POI_mechanism,biological-process,,,,D010102,C0030054,mechanism_node,7812538,1,,GO:0015671,,Oxygen Consumption,Oxygen Consumption Reduction,claude_api,HIGH,,,
ARDS_POI:02517,cardiac-output-reduction,Cardiac Output Reduction,POI_mechanism,biological-process,,,,D002303,C0155411,mechanism_node,7812538,1,,,,"Cardiac Output, Low",Cardiac Output Reduction,claude_api,HIGH,,,
ARDS_POI:02518,recombinant-factor-viia,recombinant factor VIIa,POI_intervention,hemostatic-agent,"Recombinant factor VIIa, a hemostatic agent approved for hemophilia, increasingly used for off-label indications.",rFVIIa,,D050280,C0053666,robot_template_row,21502651,1,CHEBI:75347,,,"Factor VIIa, Tissue",recombinant factor VIIa,claude_api,HIGH,,,
ARDS_POI:02528,lung-epithelial-injury,Lung Epithelial Injury,POI_mechanism,biological-process,,,,D055370,C0333246,mechanism_node,17944012,1,,GO:0035329,,Lung Epithelial Injury,Lung Epithelial Injury,claude_api,HIGH,,,
ARDS_POI:02529,lung-endothelial-injury,Lung Endothelial Injury,POI_mechanism,biological-process,,,,D055370,C0161527,mechanism_node,17944012,1,,GO:0031110,,Lung Endothelial Injury,Lung Endothelial Injury,claude_api,HIGH,,,
ARDS_POI:02530,biomarkers-of-lung-injury,Biomarkers Of Lung Injury,POI_mechanism,biological-process,,,,D019570,C0577744,mechanism_node,17944012,1,,,,Lung Injury Biomarkers,Biomarkers Of Lung Injury,claude_api,HIGH,,,
ARDS_POI:02535,time-cycled-inspiratory-pressure-support-ventilation,time-cycled inspiratory pressure support ventilation,POI_intervention,noninvasive-ventilation-strategy,Time-cycled expiratory trigger during noninvasive inspiratory pressure support ventilation to improve patient-ventilator synchronization in the presence of mask air leaks.,NIPSVtc,DOID:11394,D012128,C0035222,robot_template_row,10470568,1,,,,time-cycled inspiratory pressure support ventilation,time-cycled inspiratory pressure support ventilation,claude_api,HIGH,,,
ARDS_POI:02540,expiratory-trigger-cycling-disruption,Expiratory Trigger Cycling Disruption,POI_mechanism,biological-process,,,,D045505,C0231800,mechanism_node,10470568,1,,,,Expiratory trigger cycling,Expiratory Trigger Cycling Disruption,claude_api,MEDIUM,,,
ARDS_POI:02541,time-cycled-vs-flow-cycled-expiratory-trigger,Time Cycled Vs Flow Cycled Expiratory Trigger,POI_mechanism,biological-process,,,,D045505,C0199451,mechanism_node,10470568,1,,,,mechanical ventilation trigger mode,Time Cycled Vs Flow Cycled Expiratory Trigger,claude_api,MEDIUM,,,
ARDS_POI:02548,inhaled-sevoflurane,Inhaled sevoflurane,POI_intervention,sedative-agent,Inhaled sevoflurane for sedation in acute respiratory distress syndrome.,,DOID:11394,D012128,C0035222,robot_template_row,27611637,1,CHEBI:9130,,,Sevoflurane,Inhaled sevoflurane,claude_api,HIGH,,,
ARDS_POI:02550,alveolar-edema-reduction,Alveolar Edema Reduction,POI_disease,biological-process,,,DOID:11396,D011654,C0034063,mechanism_node,27611637,1,,,,Pulmonary Edema,Alveolar Edema Reduction,claude_api,HIGH,,,
ARDS_POI:02589,regional-alveolar-overdistension,Regional Alveolar Overdistension,POI_mechanism,biological-process,,,,D008171,C1963265,mechanism_node,11790648,1,,GO:0097553,,Alveolar overdistension,Regional Alveolar Overdistension,rule,HIGH,,,
ARDS_POI:02590,limiting-plateau-pressure-during-mechanical-ventilation,Limiting plateau pressure during mechanical ventilation,POI_outcome,lung-protective-ventilation-strategy,Maintaining end-inspiratory plateau pressure (Pplat) below 35 cmH2O to prevent barotrauma in ARDS patients.,,DOID:11394,D012128,C0035222,robot_template_row,11967593,1,,,,Plateau pressure,Limiting plateau pressure during mechanical ventilation,rule,HIGH,,,
ARDS_POI:02617,neurally-adjusted-ventilatory-assist-nava,neurally adjusted ventilatory assist (NAVA),POI_intervention,mechanical-ventilation-mode,Ventilation mode where assistance is provided in proportion to diaphragm electrical activity.,,,D053120,C0199926,robot_template_row,18629471,1,,,,neurally adjusted ventilatory assist,neurally adjusted ventilatory assist (NAVA),claude_api,HIGH,,,
ARDS_POI:02621,patient-ventilator-asynchrony-avoidance,Patient Ventilator Asynchrony Avoidance,POI_mechanism,biological-process,,,,D000074263,C4274925,mechanism_node,18629471,1,,,,ventilator asynchrony,Patient Ventilator Asynchrony Avoidance,claude_api,HIGH,,,
ARDS_POI:02622,over-assistance-prevention,Over Assistance Prevention,POI_intervention,biological-process,,,,D000067947,C0150866,mechanism_node,18629471,1,,,,Fall Prevention,Over Assistance Prevention,claude_api,MEDIUM,,,
ARDS_POI:02628,auto-triggering,Auto Triggering,POI_mechanism,biological-process,,,,D000544,C0005148,mechanism_node,22406958,1,,,,Autotriggering,Auto Triggering,claude_api,MEDIUM,,,
ARDS_POI:02629,delayed-cycling,Delayed Cycling,POI_mechanism,biological-process,,,,,,mechanism_node,22406958,1,,,,Delayed Cycling,Delayed Cycling,claude_api,LOW,,,
ARDS_POI:02630,inspiratory-leak-compensation,Inspiratory Leak Compensation,POI_mechanism,biological-process,,,,D000070329,C4082124,mechanism_node,22406958,1,,,,Inspiratory Leak Compensation,Inspiratory Leak Compensation,claude_api,MEDIUM,,,
ARDS_POI:02631,expiratory-leak-compensation,Expiratory Leak Compensation,POI_mechanism,biological-process,,,,,C4042987,mechanism_node,22406958,1,,,,Expiratory Leak Compensation,Expiratory Leak Compensation,claude_api,MEDIUM,,,
ARDS_POI:02655,pulmonary-vascular-dysfunction,pulmonary vascular dysfunction,POI_mechanism,pulmonary-vascular-disease,Elevation in pulmonary artery pressure and pulmonary vascular resistance in the setting of acute lung injury.,,DOID:11394,D012128,C0035222,robot_template_row,20558628,1,,,,Pulmonary Vascular Diseases,pulmonary vascular dysfunction,claude_api,HIGH,,,
ARDS_POI:02676,cellular-repair-mechanisms-in-ventilator-associated-lung-injury,cellular repair mechanisms in ventilator-associated lung injury,POI_mechanism,lung-protective-ventilation-strategy,Alveolar epithelial and endothelial cells possess repair and remodeling mechanisms that can protect against mechanical stretch-induced injury and inflammation in ventilator-associated lung injury.,,DOID:11394,D012128,C0035222,robot_template_row,15695492,1,,GO:0006281,,cellular repair mechanisms,cellular repair mechanisms in ventilator-associated lung injury,claude_api,MEDIUM,,,
ARDS_POI:02685,e-pre-deliric-model,E-PRE-DELIRIC model,POI_intervention,delirium-prediction-model,"Prediction model for delirium risk at ICU admission based on 9 factors: age, history of cognitive impairment, alcohol abuse, blood urea nitrogen, admission category, urgent admission, mean arterial pressure, corticosteroid use, and respiratory failure.",,,D003693,C0011581,robot_template_row,25894620,1,,,,E-PRE-DELIRIC model,E-PRE-DELIRIC model,claude_api,LOW,,,
ARDS_POI:02688,use-of-sedatives,use of sedatives,POI_intervention,,,,,D006993,C0036557,robot_template_row,16100131,1,,,,Sedative Agents,use of sedatives,claude_api,HIGH,,,
ARDS_POI:02702,activated-protein-c,Activated protein C,POI_intervention,anticoagulant-medication,Activated protein C administered at 24 microg/kg/h for 96 h for the treatment of acute lung injury.,,DOID:11394,D012128,C0035222,robot_template_row,18565951,1,CHEBI:80904,,,"Protein C, Activated",Activated protein C,claude_api,HIGH,,,
ARDS_POI:02719,prevention-of-unplanned-extubation,prevention of unplanned extubation,POI_intervention,extubation-management,"Measures to prevent unplanned extubation, including strong fixation of the tracheal tube, adequate sedation of agitated patients, attention to orotracheally intubated patients, and daily reassessment of weaning readiness.",,,D000058,C0151630,robot_template_row,9563730,1,,,,unplanned extubation prevention,prevention of unplanned extubation,claude_api,HIGH,,,
ARDS_POI:02724,low-dose-intravenous-gm-csf-therapy,low-dose intravenous GM-CSF therapy,POI_intervention,sepsis-management,Low-dose (3 mcg/kg) intravenous recombinant human granulocyte-macrophage colony-stimulating factor (GM-CSF) administered daily for 5 days in patients with severe sepsis and respiratory dysfunction.,,DOID:11394,D012128,C0035222,robot_template_row,12119223,1,CHEBI:8846,,,Granulocyte-Macrophage Colony-Stimulating Factor,low-dose intravenous GM-CSF therapy,claude_api,HIGH,,,
ARDS_POI:02729,gm-csf-stimulated-granulocyte-hemopoiesis,Gm Csf Stimulated Granulocyte Hemopoiesis,POI_mechanism,biological-process,,,,D006733,C0018951,mechanism_node,12119223,1,,GO:0002673,,granulocyte hematopoiesis,Gm Csf Stimulated Granulocyte Hemopoiesis,claude_api,HIGH,,,
ARDS_POI:02730,gm-csf-stimulated-macrophage-effector-function,Gm Csf Stimulated Macrophage Effector Function,POI_mechanism,biological-process,,,,D008264,C0024432,mechanism_node,12119223,1,,GO:0008406,,granulocyte-macrophage colony-stimulating factor-stimulated macrophage activation,Gm Csf Stimulated Macrophage Effector Function,claude_api,HIGH,,,
ARDS_POI:02731,gm-csf-regulation-of-pulmonary-surfactant,Gm Csf Regulation Of Pulmonary Surfactant,POI_mechanism,biological-process,,,,D006799,C0017023,mechanism_node,12119223,1,,GO:0010468,,Regulation of pulmonary surfactant by granulocyte-macrophage colony-stimulating factor,Gm Csf Regulation Of Pulmonary Surfactant,claude_api,HIGH,,,
ARDS_POI:02749,muscle-strength-survival-association,Muscle Strength Survival Association,POI_outcome,biological-process,,,,D053580,C0517349,mechanism_node,28067712,1,,,,Muscle Strength,Muscle Strength Survival Association,claude_api,MEDIUM,,,
ARDS_POI:02750,persistent-resolving-weakness-trajectories,Persistent Resolving Weakness Trajectories,POI_outcome,biological-process,,,DOID:437,D009135,C0151786,mechanism_node,28067712,1,,,,Muscle Weakness,Persistent Resolving Weakness Trajectories,claude_api,MEDIUM,,,
ARDS_POI:02759,airway-mucus-clearance,Airway Mucus Clearance,POI_mechanism,biological-process,,,,D055595,C1155011,mechanism_node,10767247,1,,GO:0006954,,Mucus clearance,Airway Mucus Clearance,claude_api,HIGH,,,
ARDS_POI:02765,extravascular-lung-water-measurement,Extravascular lung water measurement,POI_intervention,diagnostic-test,Transpulmonary thermodilution used to measure extravascular lung water in patients with severe sepsis.,,,D004948,C0014884,robot_template_row,15774053,1,,,,Extravascular Lung Water,Extravascular lung water measurement,claude_api,HIGH,,,
ARDS_POI:02772,noninvasive-positive-pressure-ventilation-for-obesity-hypoventilation-syndrome,noninvasive positive pressure ventilation for obesity hypoventilation syndrome,POI_population,,,,E66.2,D009447,C0043140,robot_template_row,20348200,1,,,,Obese patients,noninvasive positive pressure ventilation for obesity hypoventilation syndrome,rule,HIGH,,,
ARDS_POI:02773,breathe-criteria-for-breath-stacking-dyssynchrony,BREATHE criteria for breath stacking dyssynchrony,POI_intervention,dyssynchrony-detection-tool,"Novel, objective criteria for quantifying breath stacking dyssynchrony in ARDS, evaluating 5 domains: ventilator cycling, interval expiratory volume, cumulative inspiratory volume, expiratory time, and inspiratory time.",,DOID:11394,D012128,C0035222,robot_template_row,27342819,1,,,,breath stacking dyssynchrony,BREATHE criteria for breath stacking dyssynchrony,claude_api,MEDIUM,,,
ARDS_POI:02776,breath-stacking-dyssynchrony,Breath Stacking Dyssynchrony,POI_mechanism,biological-process,,,,D056992,C1956267,mechanism_node,27342819,1,,,,Breath Stacking,Breath Stacking Dyssynchrony,claude_api,MEDIUM,,,
ARDS_POI:02778,iatrogenic-lung-injury,Iatrogenic Lung Injury,POI_mechanism,biological-process,,,DOID:0050772,D055370,C0151816,mechanism_node,27342819,1,,,,Iatrogenic Lung Injury,Iatrogenic Lung Injury,claude_api,HIGH,,,
ARDS_POI:02787,pressure-limitation-with-permissive-hypercapnia,Pressure limitation with permissive hypercapnia,POI_intervention,lung-protective-ventilation-strategy,"Approach to minimize alveolar overdistention through either pressure or volume limitation, while accepting the potential consequences of respiratory acidosis.",,DOID:11394,D012128,C0035222,robot_template_row,8084064,1,,,,Permissive hypercapnia,Pressure limitation with permissive hypercapnia,claude_api,HIGH,,,
ARDS_POI:02801,impaired-microvascular-perfusion,Impaired Microvascular Perfusion,POI_mechanism,biological-process,,,,D045149,C0599839,mechanism_node,24352484,1,,GO:0015671,,Microvascular Perfusion,Impaired Microvascular Perfusion,claude_api,MEDIUM,,,
ARDS_POI:02839,tissue-repair-fibrosis-inhibition,Tissue Repair Fibrosis Inhibition,POI_disease,biological-process,,,DOID:3770,D011658,,mechanism_node,8756805,1,,GO:0048146,,Pulmonary fibrosis,Tissue Repair Fibrosis Inhibition,rule,HIGH,,,
ARDS_POI:01013,reduced-barotrauma,Reduced clinical barotrauma,POI_outcome,,,,,D001416,C0005326,promoted_from_kg,9449727|23497608,2,,,,Barotrauma,Reduced clinical barotrauma,rule,HIGH,,,
ARDS_POI:01024,reduced-icu-stay-duration,Reduced ICU stay duration,POI_outcome,,,,,D007238,C0021313,promoted_from_kg,16714767,1,,,,Intensive Care Unit stay duration,Reduced ICU stay duration,claude_api,HIGH,,,
ARDS_POI:01025,no-change-in-nonpulmonary-organ-failures,No change in nonpulmonary organ failures,POI_outcome,,,,SYMP:0000724,D009102,C0026776,promoted_from_kg,16714767,1,,,,Organ failure,No change in nonpulmonary organ failures,rule,HIGH,,,
ARDS_POI:01044,global-cognitive-impairment,Global cognitive impairment,POI_outcome,,,,DOID:12236,D002968,C0022407,promoted_from_kg,24088092,1,,,,Cognitive Impairment,Global cognitive impairment,claude_api,HIGH,,,
ARDS_POI:01045,executive-function-impairment,Executive function impairment,POI_outcome,,,,,D005049,C0014861,promoted_from_kg,24088092,1,,GO:0008150,,Executive Function,Executive function impairment,claude_api,HIGH,,,
ARDS_POI:01056,vasopressor-use,Vasopressor use,POI_outcome,,,,,D014662,C0042402,promoted_from_kg,32442528,1,,,,Vasopressor Agents,Vasopressor use,claude_api,HIGH,,,
ARDS_POI:01057,renal-replacement-therapy,Renal replacement therapy,POI_outcome,,,,,http://purl.bioontology.org/ontology/MESH/D017582,C0086675,promoted_from_kg,32442528,1,,,,Renal Replacement Therapy,Renal replacement therapy,claude_api,HIGH,,,
ARDS_POI:01058,time-to-in-hospital-deterioration,Time to in-hospital deterioration,POI_outcome,,,,,D061345,C1521828,promoted_from_kg,32442528,1,,,,Time to clinical deterioration,Time to in-hospital deterioration,claude_api,HIGH,,,
ARDS_POI:01060,lung-ultrasound-artifacts,Lung ultrasound artifacts,POI_mechanism,,,,,D000816,C0183632,promoted_from_kg,18403664,1,,,,Ultrasound artifacts,Lung ultrasound artifacts,claude_api,MEDIUM,,,
ARDS_POI:01061,lung-sliding-assessment,Lung sliding assessment,POI_mechanism,,,,,D000070641,C4236634,promoted_from_kg,18403664,1,,,,Lung sliding sign,Lung sliding assessment,claude_api,HIGH,,,
ARDS_POI:01062,alveolar-consolidation-detection,Alveolar consolidation detection,POI_mechanism,,,,,D001424,C0240347,promoted_from_kg,18403664,1,,,,Alveolar consolidation,Alveolar consolidation detection,claude_api,HIGH,,,
ARDS_POI:01063,pleural-effusion-detection,Pleural effusion detection,POI_mechanism,,,,DOID:11515,D010996,C0032227,promoted_from_kg,18403664,1,,,,Pleural Effusion,Pleural effusion detection,claude_api,HIGH,,,
ARDS_POI:01064,ultrasound-profile-integration,Ultrasound profile integration,POI_mechanism,,,,,D014463,C0041618,promoted_from_kg,18403664,1,,,,Ultrasound imaging,Ultrasound profile integration,claude_api,MEDIUM,,,
ARDS_POI:01067,reduced-pulmonary-and-systemic-cytokine-response,Reduced pulmonary and systemic cytokine response,POI_outcome,,,,,D006849,C0006850,promoted_from_kg,10404912,1,,GO:0034097,,Cytokine response,Reduced pulmonary and systemic cytokine response,claude_api,MEDIUM,,,
ARDS_POI:01069,alveolar-overdistention-minimization,Alveolar overdistention minimization,POI_mechanism,,,,,D000860,C0520681,promoted_from_kg,10404912,1,,,,Alveolar overdistention,Alveolar overdistention minimization,claude_api,MEDIUM,,,
ARDS_POI:01073,copd-exacerbation,COPD exacerbation,POI_disease,,,,DOID:0050741,D011654,C0024117,promoted_from_kg,11790214,1,,,,Chronic Obstructive Pulmonary Disease Exacerbation,COPD exacerbation,claude_api,HIGH,,,
ARDS_POI:01074,dependent-lung-atelectasis-olv,Dependent lung atelectasis with one-lung ventilation,POI_intervention,,,,,D016893,C0199470,promoted_from_kg,32479829|12574072|16618955,3,,,,One-lung ventilation,Dependent lung atelectasis with one-lung ventilation,rule,HIGH,,,
ARDS_POI:01075,postoperative-pulmonary-complications,Postoperative pulmonary complications,POI_outcome,,,,,D011656,C0032943,promoted_from_kg,32479829|16618955,2,,,,Pulmonary complications,Postoperative pulmonary complications,rule,HIGH,,,
ARDS_POI:01078,reduced-weaning-duration,Reduced weaning duration,POI_outcome,,,,,D014886,C0043121,promoted_from_kg,7823995|16840741,2,,,,Weaning duration,Reduced weaning duration,claude_api,MEDIUM,,,
ARDS_POI:01079,increased-successful-weaning-rate,Increased successful weaning rate,POI_outcome,,,,,D015300,C0043083,promoted_from_kg,7823995,1,,,,Successful weaning,Increased successful weaning rate,claude_api,HIGH,,,
ARDS_POI:01081,ventilator-rate-titration,Ventilator rate titration,POI_mechanism,,,,,D012121,C0199451,promoted_from_kg,7823995,1,,,,Ventilator rate adjustment,Ventilator rate titration,claude_api,HIGH,,,
ARDS_POI:01086,higher-mortality-fewer-vfds-fewer-offd,"Higher mortality, fewer ventilator-free days, fewer organ failure-free days",POI_outcome,,,,DOID:11394,D014568,C3853727,promoted_from_kg,24853585,1,,,,Ventilator-free days,"Higher mortality, fewer ventilator-free days, fewer organ failure-free days",rule,HIGH,,,
ARDS_POI:01099,major-abdominal-surgery,Major abdominal surgery context,POI_context,,,,,D015746,C0001898,promoted_from_kg,23902482|11965272,2,,,,Abdominal Surgical Procedures,Major abdominal surgery context,claude_api,HIGH,,,
ARDS_POI:01112,reduced-icu-length-of-stay,Reduced ICU length of stay,POI_outcome,,,,,D007835,C0023013,promoted_from_kg,10634340|27734109|7874950|18596631|9556465|15599160,6,,,,Intensive care unit length of stay,Reduced ICU length of stay,claude_api,HIGH,,,
ARDS_POI:01113,reduced-hospital-length-of-stay,Reduced hospital length of stay,POI_outcome,,,,,D006801,C0022727,promoted_from_kg,9872200|18596631,2,,,,Length of stay,Reduced hospital length of stay,claude_api,HIGH,,,
ARDS_POI:01119,improved-sofa-score-7d,Improved SOFA score at 7 days,POI_outcome,,,,,D064488,C0038951,promoted_from_kg,32876695,1,,,,SOFA score,Improved SOFA score at 7 days,claude_api,HIGH,,,
ARDS_POI:01124,no-survival-benefit,No survival benefit,POI_outcome,,,,,,,promoted_from_kg,11529210,1,,,,No survival benefit,No survival benefit,claude_api,LOW,,,
ARDS_POI:01129,sickle-cell-disease,Sickle cell disease,POI_disease,,,,DOID:10923,D012719,C0036341,promoted_from_kg,10861320,1,,,,Sickle Cell Disease,Sickle cell disease,claude_api,HIGH,,,
ARDS_POI:01130,matched-transfusions,Matched transfusions,POI_intervention,,,,,D001522,C0013384,promoted_from_kg,10861320,1,,,,Blood Transfusion,Matched transfusions,claude_api,MEDIUM,,,
ARDS_POI:01131,bronchodilators,Bronchodilators,POI_intervention,,,,,D001960,C0006078,promoted_from_kg,10861320,1,,,,Bronchodilator Agents,Bronchodilators,claude_api,HIGH,,,
ARDS_POI:01132,bronchoscopy,Bronchoscopy,POI_intervention,,,,,D001976,C0006118,promoted_from_kg,10861320,1,,,,Bronchoscopy,Bronchoscopy,claude_api,HIGH,,,
ARDS_POI:01133,fat-embolism,Fat embolism,POI_disease,,,,DOID:14472,D005151,C0014652,promoted_from_kg,10861320,1,,,,Fat Embolism,Fat embolism,claude_api,HIGH,,,
ARDS_POI:01138,improved-survival-als,Improved survival in ALS,POI_outcome,,,,,D000690,C0023272,promoted_from_kg,16426990,1,,,,Survival,Improved survival in ALS,claude_api,HIGH,,,
ARDS_POI:01139,improved-quality-of-life-als,Improved quality of life in ALS,POI_outcome,,,,,D000690,C0023272,promoted_from_kg,16426990,1,,,,Quality of Life,Improved quality of life in ALS,claude_api,HIGH,,,
ARDS_POI:01140,amyotrophic-lateral-sclerosis,Amyotrophic lateral sclerosis,POI_disease,,,,DOID:332,D000690,C0023272,promoted_from_kg,16426990,1,,,,Amyotrophic lateral sclerosis,Amyotrophic lateral sclerosis,claude_api,HIGH,,,
ARDS_POI:01141,without-severe-bulbar-dysfunction,Without severe bulbar dysfunction,POI_context,,,,,D002540,C0006104,promoted_from_kg,16426990,1,,,,Bulbar dysfunction,Without severe bulbar dysfunction,claude_api,MEDIUM,,,
ARDS_POI:01143,transpulmonary-pressure-monitoring,Transpulmonary pressure monitoring,POI_mechanism,,,,,D045505,C0428696,promoted_from_kg,19001507,1,,,,Transpulmonary Pressure,Transpulmonary pressure monitoring,claude_api,HIGH,,,
ARDS_POI:01151,cardiac-surgery-with-cardiopulmonary-bypass,Cardiac surgery with cardiopulmonary bypass,POI_context,,,,,D002315,C0007202,promoted_from_kg,20940381,1,,,,Cardiopulmonary Bypass,Cardiac surgery with cardiopulmonary bypass,claude_api,HIGH,,,
ARDS_POI:01152,anemia,Anemia,POI_disease,,,,DOID:650,D000740,C0001625,promoted_from_kg,20940381,1,,,,Anemia,Anemia,claude_api,HIGH,,,
ARDS_POI:01155,reduced-postoperative-pain,Reduced postoperative pain,POI_outcome,,,,,D010149,C0030200,promoted_from_kg,11965272,1,,,,Postoperative pain,Reduced postoperative pain,claude_api,HIGH,,,
ARDS_POI:01156,no-difference-in-major-adverse-outcomes,No difference in major adverse outcomes,POI_outcome,,,,,D000072658,C4019876,promoted_from_kg,11965272,1,,,,Major Adverse Cardiovascular Events,No difference in major adverse outcomes,claude_api,MEDIUM,,,
ARDS_POI:01157,high-risk-population,High-risk population context,POI_context,,,,,D056239,C0030705,promoted_from_kg,11965272,1,,,,High-risk population,High-risk population context,claude_api,HIGH,,,
ARDS_POI:01160,reduced-serious-complications,Reduced serious complications,POI_outcome,,,,,D064418,C0877248,promoted_from_kg,9700176,1,,,,Serious Adverse Events,Reduced serious complications,claude_api,MEDIUM,,,
ARDS_POI:01165,prolonged-hospitalization,Prolonged hospitalization,POI_context,,,,,D006760,C0020025,promoted_from_kg,10477776,1,,,,"Hospitalization, prolonged",Prolonged hospitalization,claude_api,HIGH,,,
ARDS_POI:01171,increased-catheter-related-complications,Increased catheter-related complications,POI_outcome,,,,,D002404,C0085881,promoted_from_kg,16714768,1,,,,Catheter-Related Complications,Increased catheter-related complications,claude_api,HIGH,,,
ARDS_POI:01175,intrathoracic-pressure-change,Intrathoracic pressure change,POI_mechanism,,,,,D019571,C0020515,promoted_from_kg,15034650,1,,,,Intrathoracic Pressure,Intrathoracic pressure change,claude_api,HIGH,,,
ARDS_POI:01176,venous-return-change,Venous return change,POI_mechanism,,,,,D014690,C0042958,promoted_from_kg,15034650,1,,GO:0008217,,Venous return,Venous return change,claude_api,HIGH,,,
ARDS_POI:01183,gastrointestinal-intolerances,Gastrointestinal intolerances,POI_outcome,,,,DOID:77,D005767,C0017178,promoted_from_kg,22307571,1,,,,Gastrointestinal Diseases,Gastrointestinal intolerances,claude_api,MEDIUM,,,
